Geography,Time arriving a,Main mode of co,Total - Commuting duration
0012.00 - Thunder Bay,Total - Time arriving at work,    Public transit,50.0
0012.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,50.0
0012.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0013.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",190.0
0013.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0013.00 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0013.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,10.0
0013.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0014.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1275.0
0014.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0014.00 - Thunder Bay,Total - Time arriving at work,    Public transit,70.0
0014.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,155.0
0014.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0015.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1710.0
0015.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",155.0
0015.00 - Thunder Bay,Total - Time arriving at work,    Public transit,50.0
0015.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,190.0
0015.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0016.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",480.0
0016.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0016.00 - Thunder Bay,Total - Time arriving at work,    Public transit,25.0
0016.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,50.0
0016.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0017.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",275.0
0017.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0017.00 - Thunder Bay,Total - Time arriving at work,    Public transit,20.0
0017.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,60.0
0017.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0018.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",125.0
0018.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0018.00 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0018.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,10.0
0018.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0019.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",655.0
0019.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0019.00 - Thunder Bay,Total - Time arriving at work,    Public transit,25.0
0019.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,35.0
0019.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0020.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",365.0
0020.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0020.00 - Thunder Bay,Total - Time arriving at work,    Public transit,10.0
0020.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,10.0
0020.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0021.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",275.0
0021.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0021.00 - Thunder Bay,Total - Time arriving at work,    Public transit,25.0
0021.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,20.0
0021.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0022.03 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",205.0
0022.03 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0022.03 - Thunder Bay,Total - Time arriving at work,    Public transit,20.0
0022.03 - Thunder Bay,Total - Time arriving at work,    Active transportation,25.0
0022.03 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0022.04 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",375.0
0022.04 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",75.0
0022.04 - Thunder Bay,Total - Time arriving at work,    Public transit,45.0
0022.04 - Thunder Bay,Total - Time arriving at work,    Active transportation,65.0
0022.04 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0022.05 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",230.0
0022.05 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0022.05 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0022.05 - Thunder Bay,Total - Time arriving at work,    Active transportation,10.0
0022.05 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0022.06 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",640.0
0022.06 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0022.06 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0022.06 - Thunder Bay,Total - Time arriving at work,    Active transportation,35.0
0022.06 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0023.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",415.0
0023.01 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0023.01 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0023.01 - Thunder Bay,Total - Time arriving at work,    Active transportation,30.0
0023.01 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0023.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",1985.0
0023.02 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",145.0
0023.02 - Thunder Bay,Total - Time arriving at work,    Public transit,75.0
0023.02 - Thunder Bay,Total - Time arriving at work,    Active transportation,65.0
0023.02 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.03 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",370.0
0100.03 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0100.03 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0100.03 - Thunder Bay,Total - Time arriving at work,    Active transportation,35.0
0100.03 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.04 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",795.0
0100.04 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0100.04 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0100.04 - Thunder Bay,Total - Time arriving at work,    Active transportation,25.0
0100.04 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.05 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",350.0
0100.05 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0100.05 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0100.05 - Thunder Bay,Total - Time arriving at work,    Active transportation,0.0
0100.05 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0100.06 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",120.0
0100.06 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0100.06 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0100.06 - Thunder Bay,Total - Time arriving at work,    Active transportation,0.0
0100.06 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0101.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a driver",320.0
0101.00 - Thunder Bay,Total - Time arriving at work,"    Car, truck or van - as a passenger",15.0
0101.00 - Thunder Bay,Total - Time arriving at work,    Public transit,0.0
0101.00 - Thunder Bay,Total - Time arriving at work,    Active transportation,15.0
0101.00 - Thunder Bay,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
"Toronto (CMA) 535, Ont.",Total - Time arriving at work,"    Car, truck or van - as a driver",1113220.0
"Toronto (CMA) 535, Ont.",Total - Time arriving at work,"    Car, truck or van - as a passenger",123925.0
"Toronto (CMA) 535, Ont.",Total - Time arriving at work,    Public transit,257480.0
"Toronto (CMA) 535, Ont.",Total - Time arriving at work,    Active transportation,96830.0
"Toronto (CMA) 535, Ont.",Total - Time arriving at work,"  Motorcycle, scooter or moped",1385.0
0001.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",4250.0
0001.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",215.0
0001.00 - Toronto,Total - Time arriving at work,    Public transit,710.0
0001.00 - Toronto,Total - Time arriving at work,    Active transportation,410.0
0001.00 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0002.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",75.0
0002.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0002.00 - Toronto,Total - Time arriving at work,    Public transit,50.0
0002.00 - Toronto,Total - Time arriving at work,    Active transportation,40.0
0002.00 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0003.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",30.0
0003.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0003.00 - Toronto,Total - Time arriving at work,    Public transit,15.0
0003.00 - Toronto,Total - Time arriving at work,    Active transportation,10.0
0003.00 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0004.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",130.0
0004.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0004.00 - Toronto,Total - Time arriving at work,    Public transit,175.0
0004.00 - Toronto,Total - Time arriving at work,    Active transportation,125.0
0004.00 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0005.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",360.0
0005.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0005.00 - Toronto,Total - Time arriving at work,    Public transit,340.0
0005.00 - Toronto,Total - Time arriving at work,    Active transportation,250.0
0005.00 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0006.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",30.0
0006.00 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0006.00 - Toronto,Total - Time arriving at work,    Public transit,45.0
0006.00 - Toronto,Total - Time arriving at work,    Active transportation,20.0
0006.00 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0007.01 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",255.0
0007.01 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",35.0
0007.01 - Toronto,Total - Time arriving at work,    Public transit,150.0
0007.01 - Toronto,Total - Time arriving at work,    Active transportation,55.0
0007.01 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0007.02 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",625.0
0007.02 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0007.02 - Toronto,Total - Time arriving at work,    Public transit,665.0
0007.02 - Toronto,Total - Time arriving at work,    Active transportation,325.0
0007.02 - Toronto,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.01 - Toronto,Total - Time arriving at work,"    Car, truck or van - as a driver",715.0
